example_id,thread_id,text,context,following_brand_response,label_status,human_editable_intent,human_editable_escalation,escalation_reason,intent,should_escalate_auto,text_length,thread_depth,historical_precedent_quality
gold_0028,373661,So the @115858 iPhone replacement y'all gave me has lasted like 10 days smh,[brand]: @204548 You've come to the right place. Let's take a look at this together in DM. https://t.co/GDrqU,,auto_labeled,general_support_other,False,,general_support_other,False,75,2,low_quality
gold_0029,2484174,@AppleSupport @115858 Awesome it appeared to be putting in the correct letter only to replace them after I️ sent the tweet. Now I️ don’t even know when it’s messing up. Please fix this! I️ have a $900 piece of junk now if I️ can’t even text a coherent text!,,"@709678 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",auto_labeled,app_store_problems,False,,app_store_problems,False,257,2,actionable
gold_0030,1648391,@115858  @AppleSupport https://t.co/QY2M6Nowm3,,@503577 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsr9Kz9,auto_labeled,app_store_problems,False,,app_store_problems,False,46,2,actionable
gold_0031,2077686,"@AppleSupport Hello, been experiencing many issues since #ios11 install. Key: speaker phone and locked volume adjust not working… help?",,"@614476 Hi there. We’ll be glad to help. So that we can explore the best options for your region, DM the country you’re messaging us from. https://t.co/GDrqU22YpT",auto_labeled,apple_id_account,False,,apple_id_account,False,135,2,actionable
gold_0032,400391,@AppleSupport restored my iPhone 6S from a backup and now the apple watch app won’t connect to my watch and won’t allow me to unpair. help!,,@210682 Thanks for reaching out.  Are these the steps you're taking to unpair and pair the Apple Watch: https://t.co/UCuy0qGg07?,auto_labeled,connectivity_network_services,False,,connectivity_network_services,False,139,3,actionable
gold_0033,2499283,"Hey @AppleSupport, whatever you did to #battery mgmt with #iOS11.1.1, please go back and do the opposite.",,@713097 We want to make sure your iPhone is ready to go when you need it during the day. Let's pair up in DM to get a closer look at what's happening here to get this sorted out. https://t.co/GDrqU22YpT,auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,105,2,low_quality
gold_0034,2645651,"@115858 wtf? Every time I️ Type I️ weird characters appear. You’ve made me look like a complete idiot, thanks...",,"@746432 Hey, we'd like to offer some assistance. Did you get a chance to update the iOS to the latest version, 11.1.2, to see if that helps? Before updating, please be sure to back up your device first. Here's an article to help you with the backup: https://t.co/4f8hwT5to6",auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,112,2,actionable
gold_0035,489608,"@116333 What happens to technical support in Brazil? They lied to me! Of all the companies the only one not expecting this was @115858 . @AppleSupport Brazil fail! repair number D251464272. I am very very disappointed. But that's my problem, said Apple Brazil.",,@231607 Thanks for reaching out to us. We're always happy to help. Send us a DM with more details. We'd be happy to look into this with you there. https://t.co/GDrqU22YpT,auto_labeled,device_hardware_accessory,False,,device_hardware_accessory,False,260,2,dm_escalation
gold_0036,1074667,@115858 🗣do better at having enough employees to assist customers. I shouldn't have to wait 3 hours to get one thing fixed this is crazy,,@373566 We can help out here. Provide details and we can get started.,auto_labeled,software_update_problems,False,,software_update_problems,False,136,2,next_step
gold_0037,2920083,"anyone in a love/hate relationship with the iphone 8? send help - frozen screen, can't access my apps, and it won't turn off.

any suggestions besides going back to a flip phone?

@AppleSupport @115858",,@808194 Hello. We are here to help. How long has this been occurring? Have there been any recent changes to your device? What is your iOS version?,auto_labeled,device_hardware_accessory,True,angry/frustrated,device_hardware_accessory,True,201,2,low_quality
gold_0038,1923103,"1/ @115858 continue receiving an error on macbook stating to ""finish changing your password"" I have finished changing my password..",,@572455 We'd like to help get this taken care of. Does this prompt appear after opening a certain app?,auto_labeled,apple_id_account,True,security,apple_id_account,True,131,4,actionable
gold_0039,2077889,"@AppleSupport my 6s shutting down with over 37% battery, also a full charge only last 90 minutes.",,@614542 We would like to help you with your iPhone. Which iOS version are you running? DM any additional details about the issue: https://t.co/GDrqU22YpT,auto_labeled,battery_charging_power,True,security,battery_charging_power,True,97,2,low_quality
gold_0040,1583747,"@64786 eye understand, eye ignored, eye didn’t 😐 @115858 fix this bug. STAT.",,"@487390 We are elated to provide you a speedy, easy workaround for this. This article walks you through it:
https://t.co/xXaXeeSRt9",auto_labeled,software_update_problems,False,,software_update_problems,False,76,2,actionable
gold_0041,1496723,"@AppleSupport i can’t purchase diamond in mobile legend, how to fix it? https://t.co/0C0Lq6weMQ",,@467488 We received your DM and you'll see a response there shortly.,auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,95,2,low_quality
gold_0042,2726849,"@AppleSupport, why is iCloud Photo Library, so aggressive in uploading photos? A minute after snapping one it already has to be downloaded to be viewed . #askquery",,"@764675 Thank you for reaching out to us. That's a great question. When you take a photo and have iCloud Photo Library enabled, it is an automatic upload. This article tells more about iCloud Photo Library: https://t.co/I2ng1wnq6v",auto_labeled,apple_id_account,False,,apple_id_account,False,163,6,dm_escalation
gold_0043,2864905,"@AppleSupport my partners having a melt down, he can’t restore his X from iTunes, it’s asking for his Mac login password but it sayin incorrect 🤬 help!!",,"@795736 We want your partner to be able to use their iPhone X, and we'll do all we can to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT",auto_labeled,apple_id_account,True,security,apple_id_account,True,152,2,dm_escalation
gold_0044,375087,"@AppleSupport updated to 11.0.2 on WiFi. Wont connect to same WiFi after update. Tried restart, reentered passwords etc. Suggestions?",,@204940 Are you able to connect to any other Wi-Fi networks?,auto_labeled,apple_id_account,True,security,apple_id_account,True,133,2,low_quality
gold_0045,1635753,apple get yah shit together cause this “ i️ “ pissing me tf offff @115858,,@500348  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,73,2,actionable
gold_0046,2121643,@115858 @AppleSupport https://t.co/CEcExdrJUR,,@625084 We'd be happy to look into this with you more in detail.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,False,,app_store_problems,False,45,2,next_step
gold_0047,1832847,I updated my iPhone 6S to iOS 11.0.3 and since then all aps are freezing and crashing. Really don’t understand why @115858 released this shit,,"@549892 That's not expected behavior and we want to help. Click the DM link, let us know the details of the issues and we'll work together. https://t.co/GDrqU22YpT",auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,141,2,actionable
gold_0048,1658716,"If @115858 could hurry up and fix the issue with typing the letter eye, that would be great.   I’m tired of see the question mark...",,@506081 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/uQeXsrrlXJ,auto_labeled,software_update_problems,False,,software_update_problems,False,132,2,actionable
gold_0049,2812587,"@115858 saludos,es que tengo un problema con mi iPhone,y lo que ocurre es que no puedo llamar ni recibir llamadas,y no sé qué más hacer,ya que acudí a Apple Support y aunque intenten llamarme,no entran llamadas,quiero saber cual es su recomendación.Gracias.",,@784254 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,auto_labeled,app_store_problems,False,,app_store_problems,False,257,15,low_quality
gold_0050,2683023,@AppleSupport I am not receiving SMS or MMS notifications and my phone isn’t sending read receipts. (although they are both turned on),,"@754695 You're in the right place for help. To get us started through troubleshooting, may we get the iOS version currently on the iPhone?",auto_labeled,connectivity_network_services,False,,connectivity_network_services,False,134,8,dm_escalation
gold_0051,2519449,@AppleSupport FOR SOME REASON I CANT CALL IT AUTOMATICALLY DECLINES IT WHEN I TRY CALLING OR SOMEONE CALLS ME HELP ME IM CRIN,"[brand]: @717658 We're glad to look into this with you. To be sure we understand correctly, it sounds like yo",,auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,125,2,actionable
gold_0052,795244,"Hi @AppleSupport is there any way to uninstall and go back to the old iOS? This one is awful and constantly freezes. It makes me want to throw my phone through your shop window, which I would if I could unattach it from the charger for an hour without it dying.",,@309600 Were glad to help. You can't go back to a previous iOS version. Please let us know what iOS version you are using.,auto_labeled,battery_charging_power,True,security,battery_charging_power,True,261,4,dm_escalation
gold_0053,1594914,@115858 get your act together I️ am tired of this auto correct crap.,,"@490071 Understood. This should help: https://t.co/xXaXeeSRt9 Try is out and if the issue remains, DM us. https://t.co/GDrqU22YpT",auto_labeled,general_support_other,False,,general_support_other,False,68,2,actionable
gold_0054,1833834,@115858 your itunes application is a piece of trash. Wiped my music when plugged in to charge ipod. From iPod and itunes library,,"@550090 We'll be happy to see how we can help with this. Send us a DM with more information, and we'll go from there. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,128,2,dm_escalation
gold_0055,867448,@115858 @AppleSupport I update my phone to ios 11 and now my phone’s slower than ever. i can’t watch YouTube or use Snapchat w/o it freezing,,@325975 We have released 11.0.2. Make sure you have a backup and then go ahead and get your iPhone updated: https://t.co/80YRnjDFDk,auto_labeled,device_hardware_accessory,False,,device_hardware_accessory,False,140,2,actionable
gold_0056,867450,@AppleSupport Music controls aren’t showing up on the lock screen for Spotify. Newest iOS has ruined my phone too... 🙁11.0.2,,@325976 We're here to help. Shoot us a DM of what country or region you're located in. https://t.co/GDrqU22YpT,auto_labeled,device_hardware_accessory,False,,device_hardware_accessory,False,124,2,actionable
gold_0057,741125,@115858 iOS 11 fucking sucks I can’t open Twitter and my keyboard isn’t working,,@297252 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,79,2,low_quality
gold_0058,2647359,ummm the new updates broke my phone and I want a new 1 @115858 💋,,@746915 We'd love to look into this with you. Tell us what's going on and we'll get started.,auto_labeled,software_update_problems,False,,software_update_problems,False,64,3,next_step
gold_0059,1353939,"update has screwed my phone, phone freezes every 5 seconds,randomly stops my music,doesn’t display my music on my lock screen. wtf @115858",,@435744 We'll do everything we can to help! Join us in DM and we'll look into this situation together: https://t.co/GDrqU22YpT,auto_labeled,device_hardware_accessory,True,angry/frustrated,device_hardware_accessory,True,138,7,acknowledgement_only
gold_0060,1615466,Oh boy. Apparently I broke the camera. #FaceID #FaceIDFail @AppleSupport https://t.co/oqd9C15SXj,,@495464 We'd like to help! Send us a DM with the country that you are located in to continue. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,False,,app_store_problems,False,96,3,actionable
gold_0061,1002228,So my iPhone is once again back in Headphone mode for absolutely no fucking reason. Thanks @115858.,,@357239 You'll find the steps you need here: https://t.co/MevoR4xPNn,auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,99,2,actionable
gold_0062,1676754,@AppleSupport iTunes not getting connected to laptop and not getting recognized,,@510037 You came to the right place. We'll do everything we can to get you set up. What kind of computer are you using?,auto_labeled,connectivity_network_services,False,,connectivity_network_services,False,79,9,next_step
gold_0063,554918,so i didn’t make this purchase but the dates don’t add up. #help @AppleSupport https://t.co/z0qwzYnj2g,,@249538 Thanks for sharing this information. We know how important it is to make sure your accounts are secure. Please do not click on any links on this email. You can read more about identifying fraudulent “phishing” emails here: https://t.co/LNMCdqt6fD,auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,102,2,actionable
gold_0064,2280335,Can @115858 fix this damn glitch?!,,"@662902 We're happy to help. Please tell us your device model, the iOS version installed and details of the issue you're experiencing. We're delighted to help get things sorted out.",auto_labeled,software_update_problems,True,angry/frustrated,software_update_problems,True,34,2,acknowledgement_only
gold_0065,594624,"Since iOS 11.2, my iPhone 7 has become way faster than before (perhaps even better than iOS 10). That’s great, but now it is warming a lot and I am still disappointed by the battery life (Location Services off (even the system ones) and background app refresh off). @AppleSupport",,"@260877 We're happy to hear that it seems to have resolved the speed issues, and we're glad you're here so we can look into what's going on with your iPhone's battery. Since support options vary by location, DM us which country you're in and we'll get started. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,repeated,battery_charging_power,True,279,4,actionable
gold_0066,594617,"@115858 @AppleSupport can you please seriously sort out older iPhone compatibilities with the latest iOS? Battery life is shockingly awful, having to charge 3-4 times daily &amp; battery dies at 40%, then straight back up to 40% as soon as plugged in! #Ridiculous 🤬🤬",,"@260874 We'd love to look into your battery life! Please send us a DM with which iOS version you're updated to, and which iPhone model you're using to begin. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,266,2,actionable
gold_0067,1748661,Hey @115858 @AppleSupport thanks for ? all the timeeeee “I️”,,@527082 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,auto_labeled,app_store_problems,False,,app_store_problems,False,60,2,actionable
gold_0068,1881970,@AppleSupport thanks for making my phone a bigger piece of shit than it already was after the new update. Appreciate it.,,@561620 Having your iPhone work great is our goal. DM us details of the issue you're experiencing &amp; the iOS 11 version to get started. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,120,2,next_step
gold_0069,1105612,my phone is fucked. im sick of @115858,,"@380908 We want to help you with your iPhone. DM us, and let us know what's going on. We'll see what we can do. https://t.co/GDrqU22YpT",auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,38,2,dm_escalation
gold_0070,103233,@AppleSupport @115858 Are you guys kidding with these keyboard bugs?? I.T is so frustrating. Android is looking very tempting and be been an Apple user for YEARS. Is there a timeframe for a fix? Published workarounds don’t work!,,@138715 We're happy to look into this issue with you. Please DM us your current iOS version and we'll go from there. https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,False,,app_store_problems,False,228,2,dm_escalation
gold_0071,2280579,@AppleSupport I accidentally bought an app for £6.99 but it was an accident. Pls help refund this???,,"@662957 Hello. we are here to help. Please use the following link for further assistance with this purchase:

 https://t.co/SDIe7UiyJN",auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,100,4,low_quality
gold_0072,2683936,"Make that 8% battery drop in 8 minutes -Thanks, again @AppleSupport for nada! Oh, sure, all I want for Xmas is a new shitty iPhone #iOS 1.1.2",,"@184062 Battery life is important, and we’d like to help out. Use the link below to join us in DM to get started. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,angry/frustrated,battery_charging_power,True,141,2,next_step
gold_0073,1544959,@UPSHelp @AppleSupport you guys wanna explain to me why my phone wasn't delivered despite me leaving a signed release on my door?,,@330878 Let's get you to our Apple Sales Support team here for help with your shipment questions: https://t.co/8yjRd1Xo0i,auto_labeled,app_store_problems,False,,app_store_problems,False,129,2,low_quality
gold_0074,2114771,@AppleSupport PLEASE FIX ISSUE WITH I️ !!!!,,@623485 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,auto_labeled,app_store_problems,True,angry/frustrated,app_store_problems,True,43,2,actionable
gold_0075,2467674,@AppleSupport  hi my iphone is totaly empty and it wont charge what can i do?,,@706059 We'd like to help. Could you elaborate on what you mean by empty? Has the phone been erased?,auto_labeled,battery_charging_power,True,security,battery_charging_power,True,77,7,low_quality
gold_0076,1020997,@AppleSupport Sorry where should I direct mail !,,@361604 We'd like to work with you via Twitter's DM system. Here is an invitation to join us there: https://t.co/GDrqU22YpT,auto_labeled,app_store_problems,False,,app_store_problems,False,48,6,low_quality
gold_0077,2208754,"So irritated that the @115858 podcasts app keeps unsubscribing me from everything in iOS 11. Apple, please fix this!",,"@645687 We'd like to help. To verify, what version of iOS 11 are you on?",auto_labeled,app_store_problems,True,repeated,app_store_problems,True,116,4,dm_escalation
gold_0078,495180,"@AppleSupport I’m uploading videos from a sandisk sd card into iMovie however, the video will freeze at random moments after it’s been imported. How can I fix this?",,@233084 Great question! We've got an awesome team of iMovie experts who'll be able to provide you with the best assistance. Reach out to them here: https://t.co/IBIY3vMgPj,auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,164,2,low_quality
gold_0079,1179225,@AppleSupport forgot iPhone backup password. What do I do now?,,@397343 We understand your concern! Please follow these steps with encrypted iTunes backups: https://t.co/3qND7caI7Z,auto_labeled,apple_id_account,True,security,apple_id_account,True,62,2,actionable
gold_0080,146680,"*unplugs 100% charged iphone* *slides to unlock* battery 43%
@2531 @115858 pls do something about our Battery life 
Thanks 🙏",,@149297 We're happy to help. Try these tips for battery life and let us know if you still have an issue: https://t.co/TpjqFp3jxD,auto_labeled,battery_charging_power,True,security,battery_charging_power,True,124,3,actionable
gold_0081,1586252,"@AppleSupport I keep getting “can’t connect right now” I’ve turned my phone off a few times, rebooted my wireless twice, &amp; logged out of Apple ID. Help!",,@488014 Where are you currently located? Let us know in DM. https://t.co/GDrqU22YpT,auto_labeled,apple_id_account,True,repeated,apple_id_account,True,156,4,actionable
gold_0082,1564017,This iPhone keyboard glitch has me FUCKED UP @115858,,"@482955 Tell us more about what you're noticing with your iPhone's keyboard, and we'll work together to get it resolved.",auto_labeled,software_update_problems,True,angry/frustrated,software_update_problems,True,52,2,low_quality
gold_0083,13213,Terror del siglo XXI!!! Ayúdame @115858 ! https://t.co/NyzNMPyY6a,,@118718 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,auto_labeled,general_support_other,True,angry/frustrated,general_support_other,True,65,2,low_quality
gold_0084,1142065,@AppleSupport why do my iMessage screenshots come out black? How do I change it?,,"@388819 Let’s see what’s causing this. As a starting point, which device and operating system are you using?",auto_labeled,connectivity_network_services,False,,connectivity_network_services,False,80,6,acknowledgement_only
gold_0085,2293902,@115858 help me pls https://t.co/dTY8poUvzU,,"@264920 Hey there, we're happy to help. It looks like you're having some issues with your display! Join us in DM with more details. https://t.co/GDrqU22YpT",auto_labeled,general_support_other,False,,general_support_other,False,43,2,acknowledgement_only
gold_0086,257732,@AppleSupport Being told my iCloud storage may be downgraded but card payment processing is temporarily down and I can’t re-confirm my card.,,@177309 You’ve come to the right place! We have a team of iTunes Store experts who you can reach out to here: https://t.co/SDIe7UiyJN,auto_labeled,payments_purchases_billing,False,,payments_purchases_billing,False,140,4,low_quality
gold_0087,2773117,"@AppleSupport ios11 update just keeps crashing my phone. Ive had to delete all my apps, my battery keeps dying in two hours. Why does this happen every time you release a new phone?!",,"@775073 We want your iPhone to work when you need it most. What is the exact iOS version you currently have installed on your iPhone? You'll see this in Settings &gt; General &gt; About.

DM us your response. https://t.co/GDrqU22YpT",auto_labeled,battery_charging_power,True,repeated,battery_charging_power,True,182,2,actionable
gold_0088,359860,@AppleSupport The bug is fixed in iOS 11.1 beta.,,@199789 Thanks for reaching out. Are there any steps you take when this happens that will wake the iPhone? Have you updated to iOS 11.0.2?,auto_labeled,app_store_problems,False,,app_store_problems,False,48,5,low_quality
gold_0089,2505090,"@AppleSupport Fresh iphone, clean install of apps, no restore. It’s a waste of time to troubleshoot any further. I’ll keep an eye out for more instances of software glitches...",,"@714360 That is fine, but if you decide you'd like to continue working with us to find a solution, we'd recommend to next go ahead and update to iOS 11.1.2 as it does introduce several fixes. Before updating, be sure you've got a backup of your data: https://t.co/4f8hwT5to6",auto_labeled,app_store_problems,True,repeated,app_store_problems,True,176,6,low_quality
